Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,gammaPmax,alphaIsc,betaVoc,alphaIpmax,betaVpmax,IPmax_ low,VPmax_ low,IPmax_ NOCT,VPmax_ NOCT,Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
Advance Power,API-M230,230 W Monocrystalline Module,UL 1703,230,205.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.638,60,1,N,8.18,37.32,7.55,30.48,46,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.57,30.14,6.03,27.89,Rack,Flat Plate,0.995,1.646,1,0.205738261,,
Advance Power,API-P230,230 W Polycrystalline Module,UL 1703,230,205,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.638,60,1,N,8.17,36.6,7.55,30.48,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.52,29.99,6.08,27.62,Rack,Flat Plate,0.995,1.646,1,0.198194783,,
Advance Power,API-M235,235 W Monocrystalline Module,UL 1703,235,209.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.638,60,1,N,8.26,37.5,7.59,30.96,46,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.58,30.61,6.06,28.33,Rack,Flat Plate,0.995,1.646,1,0.205803404,,
Advance Power,API-P235,235 W Polycrystalline Module,UL 1703,235,209.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.638,60,1,N,8.23,36.72,7.68,30.6,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.59,29.82,6.18,27.73,Rack,Flat Plate,0.995,1.646,1,0.201760851,,
Advance Power,API-M240,240 W Monocrystalline Module,UL 1703,240,214.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.638,60,1,N,8.29,37.56,7.69,31.2,46,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.6,30.85,6.14,28.55,Rack,Flat Plate,0.995,1.646,1,0.205666667,,
Advance Power,API-P240,240 W Polycrystalline Module,UL 1703,240,214.2,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.638,60,1,N,8.42,36.72,7.9,30.54,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.63,29.76,6.36,27.67,Rack,Flat Plate,0.995,1.646,1,0.20212,,
Advance Power,API-M245,245 W Monocrystalline Module,UL 1703,245,219,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.638,60,1,N,8.32,37.62,7.78,31.5,46,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.63,31.31,6.2,28.85,Rack,Flat Plate,0.995,1.646,1,0.208307347,,
Advance Power,API-P245,245 W Polycrystalline Module,UL 1703,245,218.8,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.638,60,1,N,8.46,36.9,8,30.84,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.65,30.05,6.44,27.95,Rack,Flat Plate,0.995,1.646,1,0.202377551,,
Advance Power,API-M250,250 W Monocrystalline Module,UL 1703,250,223.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.638,60,1,N,8.59,37.62,8.17,30.6,46,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.71,30.42,6.51,28.03,Rack,Flat Plate,0.995,1.646,1,0.2080728,,
Advance Power,API-P250,250 W Polycrystalline Module,UL 1703,250,223.4,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.638,60,1,N,8.52,37.2,8.03,31.2,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.66,30.4,6.46,28.27,Rack,Flat Plate,0.995,1.646,1,0.201856,,
Advance Power,API-M255,255 W Monocrystalline Module,UL 1703,255,228.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.638,60,1,N,8.67,37.68,8.35,30.6,46,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.75,30.42,6.66,28.03,Rack,Flat Plate,0.995,1.646,1,0.208764706,,
Advance Power,API-P255,255 W Polycrystalline Module,UL 1703,255,228,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.638,60,1,N,8.56,37.5,8.08,31.56,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.67,30.76,6.5,28.6,Rack,Flat Plate,0.995,1.646,1,0.201447843,,
Advance Power,API-M260,260 W Monocrystalline Module,UL 1703,260,232.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.638,60,1,N,8.8,37.8,8.5,30.6,46,-0.4796,0.05373,-0.3564,-0.01732,-0.4685,1.78,30.42,6.78,28.03,Rack,Flat Plate,0.995,1.646,1,0.20826,,
Advance Power,API-P260,260 W Polycrystalline Module,UL 1703,260,231.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,7.83,43.2,7.24,35.93,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.46,35.3,5.85,32.39,Rack,Flat Plate,0.995,1.961,1,0.198223077,,
Advance Power,API-M265,265 W Monocrystalline Module,UL 1703,265,235.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.951,72,1,N,8.11,44.42,7.36,36,47.9,-0.4485,0.05332,-0.3244,-0.0183,-0.4339,1.45,35.49,5.94,32.51,Rack,Flat Plate,0.995,1.961,1,0.194190566,,
Advance Power,API-P265,265 W Polycrystalline Module,UL 1703,265,236,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,7.95,43.27,7.33,36.14,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.48,35.5,5.93,32.58,Rack,Flat Plate,0.995,1.961,1,0.198264151,,
Advance Power,API-M270,270 W Monocrystalline Module,UL 1703,270,240.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.951,72,1,N,8.14,44.64,7.44,36.21,47.9,-0.4485,0.05332,-0.3244,-0.0183,-0.4339,1.47,35.7,6.01,32.7,Rack,Flat Plate,0.995,1.961,1,0.194366667,,
Advance Power,API-P270,270 W Polycrystalline Module,UL 1703,270,240.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.1,43.7,7.41,36.43,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.48,36.46,5.99,33.1,Rack,Flat Plate,0.995,1.961,1,0.199854815,,
Advance Power,API-M275,275 W Monocrystalline Module,UL 1703,275,244.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.951,72,1,N,8.18,44.78,7.52,36.58,47.9,-0.4485,0.05332,-0.3244,-0.0183,-0.4339,1.55,36.25,6.04,32.97,Rack,Flat Plate,0.995,1.961,1,0.204318182,,
Advance Power,API-P275,275 W Polycrystalline Module,UL 1703,275,245.2,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.17,43.92,7.52,36.58,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.51,36.61,6.08,33.24,Rack,Flat Plate,0.995,1.961,1,0.201022182,,
Advance Power,API-M280,280 W Monocrystalline Module,UL 1703,280,249.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.951,72,1,N,8.21,44.86,7.6,36.86,47.9,-0.4485,0.05332,-0.3244,-0.0183,-0.4339,1.57,36.53,6.11,33.22,Rack,Flat Plate,0.995,1.961,1,0.204828929,,
Advance Power,API-P280,280 W Polycrystalline Module,UL 1703,280,249.8,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.23,44.06,7.63,36.72,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.53,36.75,6.16,33.37,Rack,Flat Plate,0.995,1.961,1,0.2008125,,
Advance Power,API-M285,285 W Monocrystalline Module,UL 1703,285,254,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.951,72,1,N,8.39,44.21,7.77,36.72,47.9,-0.4485,0.05332,-0.3244,-0.0183,-0.4339,1.6,36.39,6.24,33.1,Rack,Flat Plate,0.995,1.961,1,0.204294737,,
Advance Power,API-P285,285 W Polycrystalline Module,UL 1703,285,256.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.32,44.21,7.75,36.79,46.2,-0.4402,0.06001,-0.3285,-0.008008,-0.4339,1.6,36.17,6.21,33.88,Rack,Flat Plate,0.995,1.961,1,0.203059649,,
Advance Power,API-M290,290 W Monocrystalline Module,UL 1703,290,258.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.951,72,1,N,8.48,44.43,7.9,36.72,47.9,-0.4485,0.05332,-0.3244,-0.0183,-0.4339,1.63,36.37,6.35,33.21,Rack,Flat Plate,0.995,1.961,1,0.204424483,,
Advance Power,API-P290,290 W Polycrystalline Module,UL 1703,290,261.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.46,44.28,7.96,36.79,46.2,-0.4402,0.06001,-0.3285,-0.008008,-0.4339,1.65,36.17,6.38,33.88,Rack,Flat Plate,0.995,1.961,1,0.205794828,,
Advance Power,API-P295,295 W Polycrystalline Module,UL 1703,295,266.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.49,44.42,8,37.01,46.2,-0.4402,0.06001,-0.3285,-0.008008,-0.4339,1.66,36.39,6.41,34.08,Rack,Flat Plate,0.995,1.961,1,0.204770847,,
Advance Power,API-P300,300 W Polycrystalline Module,UL 1703,300,270.7,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.54,44.86,8.05,37.66,46.2,-0.4402,0.06001,-0.3285,-0.008008,-0.4339,1.67,37.02,6.45,34.68,Rack,Flat Plate,0.995,1.961,1,0.206078,,
Advance Power,API-P305,305 W Polycrystalline Module,UL 1703,305,275.4,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.56,45,8.08,37.87,46.2,-0.4402,0.06001,-0.3285,-0.008008,-0.4339,1.67,37.23,6.48,34.88,Rack,Flat Plate,0.995,1.961,1,0.203849508,,
Advance Power,API-P310,310 W Polycrystalline Module,UL 1703,310,277.3,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.62,45.22,8.16,38.02,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.69,37.35,6.57,34.41,Rack,Flat Plate,0.995,1.961,1,0.203617742,,
Advance Power,API-P315,315 W Polycrystalline Module,UL 1703,315,281.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.951,72,1,N,8.67,45.58,8.24,38.45,47.6,-0.4501,0.05758,-0.3342,-0.009288,-0.4445,1.71,37.78,6.63,34.8,Rack,Flat Plate,0.995,1.961,1,0.205091429,,
Advance Power,API-P320,320 W_ 72 cell polycrystalline module_ 1000V max system Vdc,UL 1703,320,288.7,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.94,72,,N,9.38,45.5,8.75,36.6,47.7,-0.42,0.05,-0.32,-0.01,-0.42,1.74,35.44,7.02,33.2,,,,,,,9/4/2018,
Advance Power,API-P325,325 W_ 72 cell polycrystalline module_ 1000V max system Vdc,UL 1703,325,293.4,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.94,72,,N,9.44,45.8,8.81,36.9,47.7,-0.42,0.05,-0.32,-0.01,-0.42,1.75,35.72,7.07,33.5,,,,,,,9/4/2018,
Advance Power,API-M330,330 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,330,302.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.94,72,,N,9.57,46.8,8.75,37.7,44.6,-0.42,0.04,-0.3,-0.02,-0.41,1.73,36.23,7.01,34.1,,,,,,,9/4/2018,
Advance Power,API-P330,330 W_ 72 cell polycrystalline module_ 1000V max system Vdc,UL 1703,330,298,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.94,72,,N,9.5,46.1,8.87,37.2,47.7,-0.42,0.05,-0.32,-0.01,-0.42,1.76,36.05,7.12,33.8,,,,,,,9/4/2018,
Advance Power,API-M335,335 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,335,307.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.94,72,,N,9.61,47,8.82,38,44.6,-0.42,0.04,-0.3,-0.02,-0.41,1.75,36.49,7.06,34.4,,,,,,,9/4/2018,
Advance Power,API-P335,335 W_ 72 cell polycrystalline module_ 1000V max system Vdc,UL 1703,335,302.7,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.94,72,,N,9.56,46.4,8.94,37.6,47.7,-0.42,0.05,-0.32,-0.01,-0.42,1.78,36.37,7.17,34.1,,,,,,,9/4/2018,
Advance Power,API-M340,340 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,340,311.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.94,72,,N,9.64,47.2,8.96,38.3,44.6,-0.42,0.04,-0.3,-0.02,-0.41,1.77,36.82,7.18,34.7,,,,,,,9/4/2018,
Advance Power,API-M345,345 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,345,315.8,,No Information Submitted,No Information Submitted,Polycrystalline,Mono-c-Si,1.94,72,,N,9.72,47.3,8.98,38.4,44.6,-0.43,0.04,-0.3,-0.02,-0.41,1.78,36.9,7.19,34.7,,,,,,,9/4/2018,
Advance Power,API-M350,350 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,350,320.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.94,72,,N,9.81,47.4,9.1,38.5,44.6,-0.43,0.04,-0.3,-0.02,-0.41,1.8,36.97,7.29,34.8,,,,,,,9/4/2018,
Advance Power,API-M355,355 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,355,325.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.94,72,,N,9.9,47.5,9.21,38.6,46.7,-0.386,0.042,-0.282,-0.005,-0.381,1.82,37.51,7.38,35.4,,,,,,,9/4/2018,
Advance Power,API-M360,360 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,360,330.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.94,72,,N,9.99,47.6,9.32,38.6,46.7,-0.386,0.042,-0.282,-0.005,-0.381,1.84,37.58,7.47,35.5,,,,,,,9/4/2018,
Advance Power,API-M365,365 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,365,334.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.94,72,,N,10.08,47.7,9.43,38.7,46.7,-0.386,0.042,-0.282,-0.005,-0.381,1.86,37.66,7.56,35.5,,,,,,,9/4/2018,
Advance Power,API-M370,370 W_ 72 cell monocrystalline module_ 1000V max system Vdc,UL 1703,370,339.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.94,72,,N,10.17,47.8,9.54,38.8,46.7,-0.386,0.042,-0.282,-0.005,-0.381,1.88,37.73,7.65,35.6,,,,,,,9/4/2018,
Advanced Solar Power (Hangzhou),ASP-S1-80,80 W Thin Film Module,UL 1703,80,75.2,,No Information Submitted,No Information Submitted,Thin Film,Thin Film,0.72,145,1,N,0.95,118.9,0.85,94.1,45.2,-0.2634,0.0897,-0.3058,0.0933,-0.3292,0.2,32.75,0.69,89.33,Rack,Flat Plate,0.6,1.2,1,0.081875,,
Alps Technology,ATI-S572-175,175 W Monocrystalline Module,UL 1703,175,151.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.287,72,1,N,5.17,43.99,4.78,36.63,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,0.99,34.92,3.68,32.04,Rack,Flat Plate,0.82,1.57,1,0.198167224,,
Alps Technology,ATI-S572-180,180 W Monocrystalline Module,UL 1703,180,155.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.287,72,1,N,5.31,44.06,4.9,36.72,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,1.02,35.01,3.77,32.12,Rack,Flat Plate,0.82,1.57,1,0.197984553,,
Alps Technology,ATI-S572-185,185 W Monocrystalline Module,UL 1703,185,160.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.287,72,1,N,5.43,44.14,5.03,36.79,49.9,-0.5072,0.0415,-0.3616,0.0001,-0.5073,1.04,35.08,3.87,32.18,Rack,Flat Plate,0.82,1.57,1,0.19812127,,
Alps Technology,ATI-M660-220,220 W Polycrystalline Module,UL 1703,220,189.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.61,60,1,N,7.95,36.06,7.3,30.12,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.41,29.51,5.56,26.47,Rack,Flat Plate,0.99,1.626,1,0.189289366,,
Alps Technology,ATI-M660-225,225 W Polycrystalline Module,UL 1703,225,193.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.61,60,1,N,8.04,36.24,7.44,30.24,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.44,29.62,5.67,26.58,Rack,Flat Plate,0.99,1.626,1,0.189383996,,
Alps Technology,ATI-M660-230,230 W Polycrystalline Module,UL 1703,230,198,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.61,60,1,N,8.1,36.42,7.58,30.36,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.47,29.74,5.77,26.68,Rack,Flat Plate,0.99,1.626,1,0.189502179,,
Alps Technology,ATI-M660-235,235 W Polycrystalline Module,UL 1703,235,202.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.61,60,1,N,8.23,36.72,7.68,30.6,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.48,29.98,5.85,26.89,Rack,Flat Plate,0.99,1.626,1,0.189402564,,
Alps Technology,ATI-M660-240,240 W Polycrystalline Module,UL 1703,240,207,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.61,60,1,N,8.32,36.84,7.83,30.72,50.2,-0.5196,0.0548,-0.3624,-0.0413,-0.4835,1.51,30.09,5.97,27,Rack,Flat Plate,0.99,1.626,1,0.189820364,,
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P30-245W,245 W Polycrystalline Module,UL 1703,245,216.4,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,8.75,37.5,8.17,30,46.8,-0.51,0.07,-0.37,-0.03,-0.48,1.66,29.26,6.54,26.86,Rack,Flat Plate,0.99,1.64,1,0.198422635,,5/1/2018
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P30-250W,250 W Polycrystalline Module,UL 1703,250,221,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,8.83,37.7,8.28,30.2,46.8,-0.51,0.07,-0.37,-0.03,-0.48,1.68,29.46,6.63,27.03,Rack,Flat Plate,0.99,1.64,1,0.198386108,,5/1/2018
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P30-255W,255 W Polycrystalline Module,UL 1703,255,225.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,8.89,37.3,8.51,30,46.8,-0.51,0.07,-0.37,-0.03,-0.48,1.73,29.26,6.81,26.86,Rack,Flat Plate,0.99,1.64,1,0.198575022,,5/1/2018
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P30-260W,260 W Polycrystalline Module,UL 1703,260,230.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.624,60,1,N,9.01,38,8.5,30.6,46.8,-0.51,0.07,-0.37,-0.03,-0.48,1.73,29.85,6.8,27.39,Rack,Flat Plate,0.99,1.64,1,0.198417965,,5/1/2018
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P30-265W,265 W Polycrystalline Module_ White Backsheet_ White Frame,UL 1703,265,241.7,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,9.24,38.29,8.62,30.74,45.3,-0.422,0.0551,-0.313,0.0599,-0.435,1.69,30.43,6.87,28.19,Rack,Flat Plate,0.986,1.634,1,0.193556782,4/2/2018,
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P30-270W,270 W Polycrystalline Module_ White Backsheet_ White Frame,UL 1703,270,246.4,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,9.31,38.72,8.72,30.97,45.3,-0.422,0.0551,-0.313,0.0599,-0.435,1.71,30.65,6.95,28.4,Rack,Flat Plate,0.986,1.634,1,0.193614137,4/2/2018,
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P30-275W,275 W Polycrystalline Module_ White Backsheet_ White Frame,UL 1703,275,251.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,9.35,38.92,8.78,31.32,45.3,-0.422,0.0551,-0.313,0.0599,-0.435,1.72,31,7,28.72,Rack,Flat Plate,0.986,1.634,1,0.193564948,4/2/2018,
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6M30-280W,280 W Monocrystalline Module_ White Backsheet_ White Frame,UL 1703,280,255.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.611,60,1,N,9.23,39.26,9.03,31.01,45.2,-0.421,0.0491,-0.297,-0.0035,-0.418,1.74,30.68,7.26,28.45,Rack,Flat Plate,0.986,1.634,1,0.190620934,4/2/2018,
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P30-280W,280 W Polycrystalline Module_ White Backsheet_ White Frame,UL 1703,280,255.8,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,9.47,39.16,8.84,31.68,45.3,-0.422,0.0551,-0.313,0.0599,-0.435,1.73,31.36,7.05,29.05,Rack,Flat Plate,0.986,1.634,1,0.193607664,4/2/2018,
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6M30-285W,285 W Monocrystalline Module_ White Backsheet_ White Frame,UL 1703,285,260.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.611,60,1,N,9.46,39.18,8.95,31.85,45.2,-0.421,0.0491,-0.297,-0.0035,-0.418,1.72,31.51,7.19,29.22,Rack,Flat Plate,0.986,1.634,1,0.190645571,4/2/2018,
Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,AS-6P-320W,320 W Polycrystalline Module_ White Backsheet_ White Frame,UL 1703,320,291.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.923,72,1,N,9.24,45.94,8.62,37.13,45.3,-0.422,0.0551,-0.313,0.0599,-0.435,1.66,36.85,6.89,34.55,Rack,Flat Plate,0.986,1.95,1,0.19138296,4/2/2018,
