Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Units,,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,
[0],lib_manufacturer,cec_material,lib_is_bifacial,,,cec_area,,,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,,
Trina Solar TSM-245PxG5.50,Trina Solar,Multi-c-Si,0,245.014000,225.700000,1.680000,1.685,0.997,60,8.600000,37.400000,8.140000,30.100000,0.005229,-0.100905,44.100000,1.450404,8.602732,0.000000,0.365274,1149.750971,16.556826,-0.389600,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.05,Trina Solar,Multi-c-Si,0,249.860000,227.400000,1.618000,1.643,0.985,60,8.550000,37.400000,8.060000,31,0.005009,-0.123330,45,1.559316,8.553802,0.000000,0.215594,484.855297,10.106360,-0.432240,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.08,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.10,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.15,Trina Solar,Multi-c-Si,0,249.860000,227.400000,1.618000,1.643,0.985,60,8.550000,37.400000,8.060000,31,0.005009,-0.123330,45,1.559316,8.553802,0.000000,0.215594,484.855297,10.106360,-0.432240,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.18,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.20,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.28,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.30,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.38,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05.xy2,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05A,Trina Solar,Multi-c-Si,0,250.100000,229.100000,1.618000,1.643,0.985,60,8.900000,37.800000,8.200000,30.500000,0.004450,-0.124740,43.600000,1.556350,8.924535,0.000000,0.328382,119.118272,7.330690,-0.430000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05A.08,Trina Solar,Multi-c-Si,0,250.100000,229.100000,1.618000,1.643,0.985,60,8.900000,37.800000,8.200000,30.500000,0.004450,-0.124740,43.600000,1.556350,8.924535,0.000000,0.328382,119.118272,7.330690,-0.430000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05A.10,Trina Solar,Multi-c-Si,0,250.100000,229.100000,1.618000,1.643,0.985,60,8.900000,37.800000,8.200000,30.500000,0.004450,-0.124740,43.600000,1.556350,8.924535,0.000000,0.328382,119.118272,7.330690,-0.430000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PA05A.18,Trina Solar,Multi-c-Si,0,250.100000,229.100000,1.618000,1.643,0.985,60,8.900000,37.800000,8.200000,30.500000,0.004450,-0.124740,43.600000,1.556350,8.924535,0.000000,0.328382,119.118272,7.330690,-0.430000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PD05,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-250PD05.001,Trina Solar,Multi-c-Si,0,249.860000,227.500000,1.618000,1.643,0.985,60,8.550000,37.600000,8.060000,31,0.005130,-0.131600,44.100000,1.598369,8.553232,0.000000,0.231668,612.876410,7.623362,-0.450000,N,SAM 2020.11.29 r2,12/1/2021
